Model,Split,Feature,Importance
ExtraTrees,Random,previous_crop_37,4.535290835642583e-06
ExtraTrees,Random,region_1,0.0015550535343423538
ExtraTrees,Random,region_2,0.0006780842161400274
ExtraTrees,Random,region_3,0.006807249660551617
ExtraTrees,Random,region_4,0.00012286361565150812
ExtraTrees,Random,region_5,0.00011926087597552322
ExtraTrees,Random,region_6,0.004030030044458829
ExtraTrees,Random,region_7,0.004050048064833549
ExtraTrees,Random,province_1,8.873432462430089e-07
ExtraTrees,Random,province_2,0.0008810388776938281
ExtraTrees,Random,province_3,8.500420250060672e-05
ExtraTrees,Random,province_4,0.027012865548105166
ExtraTrees,Random,province_5,0.005201308199540341
ExtraTrees,Random,province_6,0.0022045064782957213
ExtraTrees,Random,province_7,0.0004279704781106644
ExtraTrees,Random,province_8,0.00014934708159382372
ExtraTrees,Random,province_9,5.327742995310945e-05
ExtraTrees,Random,province_10,0.003378453425769711
ExtraTrees,Random,province_11,0.00614611699719456
ExtraTrees,Random,province_12,0.003910536427083047
ExtraTrees,Random,province_13,0.0012880949086146226
ExtraTrees,Random,province_14,0.01517372798466272
ExtraTrees,Random,province_15,0.007492863812651873
ExtraTrees,Random,province_16,0.0005984729011272948
ExtraTrees,Random,province_17,0.0032738213814771638
ExtraTrees,Random,province_18,0.009714259312331526
ExtraTrees,Random,province_19,0.0008939639100251331
ExtraTrees,Random,province_20,0.0012884270473588926
ExtraTrees,Random,province_21,0.000704491339447247
ExtraTrees,Random,province_22,0.001184397703824894
ExtraTrees,Random,province_23,0.012143911820474685
ExtraTrees,Random,province_24,0.006411850514741002
ExtraTrees,Random,province_25,0.0002785531969784751
ExtraTrees,Random,province_26,0.0017829461555877964
ExtraTrees,Random,province_27,0.0010366655716645622
ExtraTrees,Random,province_28,0.0001373173403861793
ExtraTrees,Random,province_29,0.0013278473215742445
ExtraTrees,Random,sub_program_1,0.002628894246114529
ExtraTrees,Temporal,growth_season,0.0
ExtraTrees,Temporal,region,0.011443975811454555
ExtraTrees,Temporal,province,0.01587828785457642
ExtraTrees,Temporal,longitude,0.02360373467830217
ExtraTrees,Temporal,latitude,0.10193545667114726
ExtraTrees,Temporal,sub_program,0.0030111907137878265
ExtraTrees,Temporal,crop,0.05850052098481147
ExtraTrees,Temporal,previous_crop,0.03838157801021985
ExtraTrees,Temporal,soil_ph,0.008276340970670834
ExtraTrees,Temporal,organic_matter_percent,0.008442353494239956
ExtraTrees,Temporal,phosphorus_ppm,0.03455253474784564
ExtraTrees,Temporal,potassium_ppm,0.007434903546654934
ExtraTrees,Temporal,electrical_conductivity,0.0024000724939785543
ExtraTrees,Temporal,npk_nitrogen,0.010657898157437149
ExtraTrees,Temporal,npk_phosphorus_p2o5,0.010951041345969777
ExtraTrees,Temporal,npk_potassium_k2o,0.03422098497181188
ExtraTrees,Temporal,npk_magnesium_mgo,0.008260757296085065
ExtraTrees,Temporal,npk_calcium_cao,0.007126904265678296
ExtraTrees,Temporal,electrical_conductivity_encoded,0.003937614984223951
ExtraTrees,Temporal,climate_zone,0.030445879491226582
ExtraTrees,Temporal,soil_health_index,0.009256716627001659
ExtraTrees,Temporal,soil_fertility_index,0.007155041330240355
ExtraTrees,Temporal,crop_rotation_cycle,0.0008109653766127521
ExtraTrees,Temporal,nutrient_availability_index,0.015069534109445618
ExtraTrees,Temporal,soil_ph_category,0.003960411094909111
ExtraTrees,Temporal,low_phosphorus_stress,0.004247028206299357
ExtraTrees,Temporal,high_conductivity_stress,0.00015972022825191484
ExtraTrees,Temporal,crop_soil_interaction,0.007498834770255813
ExtraTrees,Temporal,npk_interaction,0.008542984959461748
ExtraTrees,Temporal,geo_cluster,0.060029404658143784
ExtraTrees,Temporal,soil_ph_median,0.046887434072978205
ExtraTrees,Temporal,npk_nitrogen_median,0.0
ExtraTrees,Temporal,npk_phosphorus_p2o5_median,0.054900021205187007
